Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Alligator,Alligator,Animal,3,,False,False,80,95,28,28,220,300,26,26,8,8,7,7,20,20,10,10,15,15,26,26,27,27,16,16,23,23,3,,Trip,Weapon: Alligator Tail; OffHand: Claw,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankheg,Ankheg,Monster,3,,False,False,64,88,82,82,240,330,23,23,17,17,14,14,19,19,6,6,14,14,27,27,32,32,21,21,23,23,3,,Acid Spit; Trip,Weapon: Claw; Armor: Carapace; OffHand: Pincers,,Poison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1.0,0.1
Antlion,Antlion,Animal,3; 4,,False,False,70,88,78,78,210,310,22,22,8,8,12,12,18,18,12,12,18,18,26,26,32,32,18,18,22,22,3,,Double Strike; Surface; Tunnel,Weapon: Pincers; Armor: Carapace; OffHand: Pincers,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Black Slime,BlackSlime,Slime,3,,False,False,63,105,105,105,185,360,13,13,25,25,30,30,15,15,12,12,6,6,12,12,24,24,35,35,200,200,3,Corruption; Curse of Umbra; Shadow Bolt; Stupefy,,,Fungus Spore,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,-0.5
Clannfear,Clannfear,Fiend,3,,False,False,44,54,65,65,77,130,19,19,10,10,12,12,16,16,12,12,16,16,15,15,22,22,14,14,16,16,2,,Charge; Double Strike; Trip,Weapon: Demon Claw; Armor: Animal Hide; OffHand: Demon Claw,,Death,0.75,0.0,-0.5,0.0,0.0,0.0,0.25,-0.25,0.0,0.0
Direbear,Direbear,Animal,3,,False,False,79,94,36,36,210,310,24,24,6,6,6,6,24,24,12,12,17,17,28,28,28,28,13,13,15,15,3,,Charge; Piercing Strike,Weapon: Bear Claw; Armor: Animal Hide; OffHand: Bear Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Disciple,Disciple,Humanoid,3,,False,False,56,66,87,87,210,290,16,16,17,17,15,15,16,16,12,12,16,16,14,14,20,20,38,38,36,36,3,Boost; Enfeeble; Firebolt; Ice Lance; Shock,,Weapon: Serpent Staff; Armor: Silver Cloak,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evil Crusader,EvilCrusader,Humanoid,3,,False,False,71,86,68,68,240,325,21,21,18,18,17,17,26,26,14,14,14,14,24,24,34,34,23,23,27,27,3,Bless; Smite,Goad; Shield Block; Shield Slam,Weapon: Pernach; Armor: Splint Mail; OffHand: Kite Shield,Scrap Metal,,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0
Ghoul,Ghoul,Undead,3,,False,False,66,84,60,60,210,290,25,25,10,10,8,8,24,24,11,11,12,12,26,26,28,28,16,16,17,17,3,Disease Breath,,Weapon: Bite,,Death,-0.25,0.0,0.0,0.0,0.0,0.0,0.5,-0.75,0.5,0.0
Golden Eagle,GoldenEagle,Animal,3,,False,False,57,67,35,35,230,320,19,19,15,15,15,15,17,17,15,15,25,25,23,23,22,22,25,25,26,26,3,,Screech,Weapon: Claw; OffHand: Claw,Mystery Meat; Feather; Bird Fat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
