Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Battle Toad,BattleToad,Animal,1; 2,,False,False,25,29,29,29,30,48,10,10,9,9,10,10,10,10,8,8,15,15,11,11,10,10,12,12,9,9,1,,Jump; Kidney Punch,Weapon: Brass Knuckles; OffHand: Brass Knuckles,Mystery Meat,,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Electric Bat,ElectricBat,Animal,1,,False,False,10,14,26,26,17,31,6,6,11,11,7,7,5,5,12,12,22,22,10,10,6,6,14,14,11,11,1,Shock; Silence,,Weapon: Bite,Mystery Meat,,0.0,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
Giant Centipede,GiantCentipede,Animal,1,,False,False,16,21,7,7,13,24,10,10,4,4,6,6,8,8,8,8,12,12,10,10,9,9,5,5,7,7,1,,,Weapon: Pincers; Armor: Carapace,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Giant Hornet,GiantHornet,Animal,1,,False,False,12,16,29,29,13,24,6,6,4,4,6,6,6,6,8,8,18,18,9,9,8,8,6,6,9,9,1,Berserk,,Weapon: Stinger,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Spider,GiantSpider,Animal,1,,False,False,20,23,20,20,15,24,9,9,10,10,10,10,8,8,10,10,12,12,11,11,13,13,8,8,10,10,1,,Web,Weapon: Stinger; Armor: Carapace,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Imp,Imp,Fiend,1,,False,False,17,22,37,37,15,24,6,6,12,12,10,10,8,8,12,12,12,12,7,7,11,11,16,16,14,14,1,Corruption; Silence,,Weapon: Demon Claw,,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,0.0
Panther,Panther,Animal,1; 2,,False,False,20,24,33,33,19,28,10,10,8,8,8,8,10,10,10,10,13,13,13,13,10,10,8,8,7,7,1,,Backstab; Disarm; Kidney Punch,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Quasit,Quasit,Fiend,1,,False,False,24,28,23,23,25,44,8,8,8,8,10,10,11,11,14,14,16,16,10,10,11,11,10,10,13,13,1,,Piercing Strike; Shapeshift,Weapon: Demon Claw; Armor: Demon Armor; OffHand: Claw,,Death; Poison,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,1,0.0
Satyr,Satyr,Fey,1; 2,,False,False,28,33,37,37,28,44,11,11,12,12,10,10,11,11,12,12,12,12,13,13,14,14,12,12,18,18,1,,Stomp,Weapon: Rapier; Armor: Padded Armor,Leather,,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.0,0.1,0.1
Twisted Dwarf,TwistedDwarf,Humanoid,1; 2,,False,False,27,31,18,18,25,44,12,12,8,8,10,10,12,12,8,8,10,10,14,14,14,14,11,11,11,11,1,,Piercing Strike,Weapon: Mattock; Armor: Hide Armor,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zombie,Zombie,Undead,1,,False,False,19,22,21,21,11,22,15,15,1,1,5,5,8,8,8,8,8,8,12,12,10,10,4,4,8,8,1,,Piercing Strike,Weapon: Bite,,Death,-0.25,0.0,0.0,0.0,0.0,0.0,0.5,-0.75,0.5,0.0
