Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Antlion,Antlion,Animal,3; 4,,False,False,70,88,78,78,210,310,22,22,8,8,12,12,18,18,12,12,18,18,26,26,32,32,18,18,22,22,3,,Double Strike; Surface; Tunnel,Weapon: Pincers; Armor: Carapace; OffHand: Pincers,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Brown Slime,BrownSlime,Slime,4,,False,False,85,127,120,120,390,660,17,17,35,35,40,40,15,15,10,10,8,8,22,22,32,32,55,55,300,300,4,Enfeeble; Mudslide,,,Fungus Spore,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,-0.5
Chimera,Chimera,Monster,4,,False,False,80,115,154,154,430,580,26,26,14,14,16,16,20,20,14,14,14,14,38,38,36,36,46,46,47,47,4,Dispel; Molten Rock,True Strike,Weapon: Lion Paw; Armor: Animal Hide; OffHand: Lion Paw,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Cyborg,Cyborg,Construct,4,,False,False,108,138,93,93,490,700,28,28,13,13,10,10,18,18,10,10,14,14,45,45,43,43,39,39,27,27,4,Shock,,Weapon: Laser; Armor: Metal Plating; OffHand: Force Field,Scrap Metal,Poison; Death; Stone,0.0,0.0,1.25,-0.75,0.0,0.0,0.0,0.0,1.0,0.5
Dark Knight,DarkKnight,Fiend,4,,False,False,106,131,75,75,500,750,28,28,15,15,12,12,21,21,14,14,17,17,37,37,45,45,30,30,29,29,4,Enhance Blade,Disarm; Shield Block; Shield Slam,Weapon: Flamberge; Armor: Plate Mail; OffHand: Kite Shield,Scrap Metal,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,0.0
Displacer Beast,DisplacerBeast,Fey,4; 5,,False,False,104,139,111,111,500,775,24,24,11,11,14,14,24,24,14,14,26,26,32,32,30,30,29,29,31,31,4,,Double Strike; Smoke Screen,Weapon: Claw; Armor: Animal Hide; OffHand: Tentacle,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Dragonkin,Dragonkin,Dragon,4,,False,False,100,135,100,100,450,680,26,26,10,10,18,18,20,20,18,18,19,19,39,39,34,34,28,28,42,42,4,,Charge; Disarm; Goad,Weapon: Halberd; Armor: Breastplate; OffHand: Kite Shield,Dragon's Tear; Scrap Metal,Death; Stone,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.1
Drow Assassin,DrowAssassin,Humanoid,4,,False,False,79,99,91,91,480,680,22,22,16,16,15,15,14,14,22,22,28,28,32,32,30,30,33,33,30,30,4,,Backstab; Kidney Punch; Mug; Parry; Piercing Strike; Shadow Strike; Smoke Screen,Weapon: Rondel; Armor: Studded Leather; OffHand: Rondel,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Myrmidon,EarthMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Tremor,Goad; Shield Block; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,0.0,0.0,1.5,-0.5,0.0,0.0,1,0.25
Fire Myrmidon,FireMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Scorch,Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,1.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
